7642954.0.676	RIDDIKULUS
10443333.0.5753	RIDDIKULUS
4703706.0.8690	STUPEFY
4593427.0.1815	ACCIO
6825904.0.4274	AVADA_KEDAVRA
4278446.0.2692	EXPELLIARMUS
9507233.0.61523	PROTEGO
11351772.0.14504	LUMOS
4452021.0.923	CRUCIO
11997844.0.6218	REDUCTO
6190380.0.2208	AVADA_KEDAVRA
6048256.0.2323	WINGARDIUM_LEVIOSA
10599549.0.1620	REDUCTO
1492505.0.524	AVADA_KEDAVRA
6922994.0.12180	STUPEFY
7182176.0.4517	REDUCTO
2318099.0.1677	SCOURGIFY
4348966.0.201	PETRIFICUS_TOTALUS
9349466.0.5669	STUPEFY
6250654.0.2153	CRUCIO
12401983.0.26114	INCENDIO
2976183.0.82	LUMOS
12412949.0.73485	PROTEGO
3735819.0.9243	DEPRIMO
12693146.0.1991	STUPEFY
11806845.0.20193	IMPERIO
11479012.0.481	LUMOS
12245001.0.5659	EVANESCO
1320861.0.2608	ALOHOMORA
9589901.0.1568	CRUCIO
7555521.0.1023	EXPECTO_PATRONUM
2231815.0.1060	AVADA_KEDAVRA
7078601.0.5381	REDUCIO
7458000.0.1455	OBLIVIATE
7034993.0.2323	SONORUS
12220675.0.475	OBLIVIATE
12129703.0.8200	AVADA_KEDAVRA
10126067.0.2485	AVADA_KEDAVRA
12036678.0.1277533	ACCIO
9678690.0.1027	AVADA_KEDAVRA
11078766.0.25	OBLIVIATE
11802459.0.51491	EXPELLIARMUS
12649439.0.8144	SECTUMSEMPRA
5594708.0.343	CRUCIO
8358572.0.4917	ACCIO
4649233.0.292	STUPEFY
8844151.0.1689	ACCIO
9507233.0.37519	CONFRINGO
12318770.0.49741	OBLIVIATE
7281441.0.681	EXPELLIARMUS
1628614.0.312	AVADA_KEDAVRA
7894946.0.1531	RIDDIKULUS
9147545.0.352	CRUCIO
12727834.0.156	OBLIVIATE
4843143.0.16462	LEGILIMENS
4339970.0.146	EXPELLIARMUS
2882041.0.1055	EXPELLIARMUS
4219690.0.1015	DIFFINDO
12596508.0.34442	ALOHOMORA
4303400.0.182	DIFFINDO
5277924.0.722	IMPERVIUS
10586351.0.345	AVADA_KEDAVRA
7204353.0.3118	AVADA_KEDAVRA
8374796.0.2386	LUMOS
3724816.0.376	WINGARDIUM_LEVIOSA
2906185.0.874	AVADA_KEDAVRA
10103161.0.485	TARANTALLEGRA
9597101.0.277	OPPUGNO
8326333.0.417	COLLOPORTUS
12387558.0.74326	SECTUMSEMPRA
8599704.0.208	INCENDIO
11912701.0.781	AVADA_KEDAVRA
3694028.0.946	AVADA_KEDAVRA
1901116.0.4930	PETRIFICUS_TOTALUS
9625410.0.801	APARECIUM
9185490.0.296	STUPEFY
3084582.0.170	IMPEDIMENTA
118354.0.326	LUMOS
3718825.0.1737	EXPECTO_PATRONUM
8547859.0.2767	OBLIVIATE
3234041.0.5564	EXPELLIARMUS
12687812.0.630	ALOHOMORA
8868060.0.582	EXPECTO_PATRONUM
11409771.0.82	REDUCTO
12452714.0.299	TERGEO
6585689.0.2600	ACCIO
12375286.0.1602	MUFFLIATO
7380916.0.960	LEGILIMENS
4729235.0.1465	ALOHOMORA
6072431.0.10500	OBLIVIATE
10950365.0.22632	REPARO
12471533.0.2128	OBLIVIATE
6708901.0.401	EXPECTO_PATRONUM
3678532.0.1325	CRUCIO
7965985.0.570	EXPECTO_PATRONUM
11871007.0.928	INCARCEROUS
3202376.0.23109	INCENDIO
6111633.0.427	ACCIO
8194643.0.1169	ACCIO
11380898.0.807	SCOURGIFY
6374589.0.2773	ALOHOMORA
6808016.0.13817	SECTUMSEMPRA
7060487.0.1128	STUPEFY
12271195.0.785	ALOHOMORA
12467979.0.97791	EXPELLIARMUS
12724254.0.1058	OBLIVIATE
3974235.0.920	CRUCIO
3467463.0.754	CRUCIO
3114244.0.1776	INCARCEROUS
7454049.0.6321	OBLIVIATE
1283705.0.213	ACCIO
2431736.0.2647	AVADA_KEDAVRA
7223385.0.3084	LEGILIMENS
3046252.0.1372	AVADA_KEDAVRA
2934195.0.2668	CRUCIO
4179065.0.6477	SECTUMSEMPRA
10265530.0.2283	CONFRINGO
8220254.0.698	PETRIFICUS_TOTALUS
4399488.0.927	LUMOS
11453360.0.1296	EXPELLIARMUS
4036630.0.2168	RELASHIO
6963476.0.6493	PETRIFICUS_TOTALUS
10641200.0.29483	SILENCIO
4726291.0.4449	CRUCIO
9507233.0.60916	CONFRINGO
6516273.0.1072	ACCIO
12619188.0.404	PROTEGO
7596150.0.1742	CRUCIO
7141204.0.979	OBLIVIATE
7294998.0.1362	CRUCIO
12210284.0.257	SCOURGIFY
891047.0.3667	ALOHOMORA
9757296.0.2668	STUPEFY
4412954.0.129	INCENDIO
